d,L,Q,Av,Median
4,7,0.430237,0.18385,0.0990422
4,7,0.43107,0.184365,0.0995364
4,7,0.431903,0.184881,0.0998162
4,7,0.43273599999999995,0.185398,0.100049
4,7,0.433569,0.185917,0.10044199999999999
4,7,0.43440200000000007,0.18643800000000002,0.100701
4,7,0.43523500000000004,0.18696,0.10117000000000001
4,7,0.436068,0.18748299999999998,0.101717
4,7,0.43690100000000004,0.18800899999999998,0.10251800000000001
4,7,0.437734,0.18853499999999998,0.103157
4,7,0.438567,0.189064,0.10363
4,7,0.4394,0.189594,0.104206
4,7,0.440233,0.190125,0.104999
4,7,0.44106599999999996,0.190659,0.10548699999999998
4,7,0.441899,0.191194,0.10605099999999999
4,7,0.44273199999999996,0.19172999999999998,0.10664000000000001
4,7,0.443565,0.192269,0.10704000000000001
4,7,0.44439799999999996,0.19280899999999998,0.10739000000000001
4,7,0.44523100000000004,0.193351,0.108134
4,7,0.446064,0.193895,0.10898699999999999
4,7,0.44689700000000004,0.19444,0.109501
4,7,0.44773,0.194987,0.110174
4,7,0.448563,0.195537,0.11113699999999999
4,7,0.449396,0.196088,0.11217
4,7,0.450229,0.19664,0.11259300000000001
4,7,0.45106199999999996,0.197195,0.113159
4,7,0.451895,0.197752,0.11374000000000001
4,7,0.45272799999999996,0.198311,0.114201
4,7,0.453561,0.198871,0.115086
4,7,0.45439399999999996,0.199434,0.11599300000000001
4,7,0.45522700000000005,0.199998,0.11698800000000001
4,7,0.45606,0.20056500000000002,0.11804100000000001
4,7,0.45689300000000005,0.201133,0.118727
4,7,0.457726,0.201704,0.119414
4,7,0.458559,0.202276,0.12000899999999999
4,7,0.459392,0.202851,0.12131199999999999
4,7,0.460225,0.203428,0.12205099999999999
4,7,0.46105799999999997,0.204007,0.123195
4,7,0.461891,0.20458800000000002,0.12445
4,7,0.46272399999999997,0.205171,0.125218
4,7,0.463557,0.20575700000000002,0.126064
4,7,0.46438999999999997,0.20634499999999997,0.126711
4,7,0.46522299999999994,0.206934,0.127746
4,7,0.466056,0.207527,0.12858499999999998
4,7,0.46688900000000005,0.208121,0.129298
4,7,0.467722,0.208718,0.130295
4,7,0.468555,0.209317,0.131179
4,7,0.469388,0.209918,0.132157
4,7,0.470221,0.210522,0.13256199999999999
4,7,0.471054,0.211128,0.133223
4,7,0.471887,0.211736,0.133929
4,7,0.47272,0.21234699999999998,0.134495
4,7,0.473553,0.21295999999999998,0.135323
4,7,0.474386,0.21357600000000002,0.135964
4,7,0.47521899999999995,0.21419499999999997,0.136849
4,7,0.47605200000000003,0.214815,0.137373
4,7,0.47688500000000006,0.21543800000000002,0.13781600000000002
4,7,0.47771800000000003,0.21606399999999998,0.13893699999999998
4,7,0.478551,0.216692,0.139975
4,7,0.47938400000000003,0.217323,0.140692
4,7,0.480217,0.217957,0.141749
4,7,0.48105,0.21859299999999998,0.142939
4,7,0.481883,0.219232,0.143736
4,7,0.482716,0.21987399999999999,0.144699
4,7,0.48354899999999995,0.220518,0.146043
4,7,0.484382,0.221165,0.14716600000000002
4,7,0.48521400000000003,0.22181399999999998,0.148421
4,7,0.486047,0.222467,0.149693
4,7,0.48688000000000003,0.223122,0.150869
4,7,0.487713,0.223779,0.152126
4,7,0.488546,0.22444,0.15313
4,7,0.489379,0.225104,0.153809
4,7,0.490212,0.22576999999999997,0.15474100000000002
4,7,0.491045,0.22643899999999997,0.15566
4,7,0.491878,0.227111,0.156909
4,7,0.49271099999999995,0.22778600000000002,0.15826700000000002
